Title,Company,Level,Responsibility,Link
Senior Data Analyst - Data Analytics,Evidera,Associate,The incidence of adverse events,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate,The impact of various risk factors,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate,Cost-effectiveness,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate,Burden of disease,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate,Comparative effectiveness data,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Implement s cohort selection, variable derivation, data management , analyses for the type of studies described above , and production of results using SAS or another of the programming languages specified above with little or no supervision. ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate, Conducts validation and review of programs developed by other programmers in the team . ,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate, Reviews and a ssist s in the development of a protocol or statistical analyses plan with responsibility for planning and design phases of projects. ,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Independently handle client communication around cohort selection, and variable definitions. Act as main point of contact on client calls and present findings when requested. ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Education fields: Epid emiology, Health Economics, Biostatistics or related field",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate, PhD with at least 3 years of relevant work experience; MSc with at least 5 years of relevant work experience ,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Senior level expert in quantitative methods in health economics, health services research, epidemiology or statistics with the focus on data analysis using observational retrospective data, claims data, or clinical trial data using SAS (e.g., SAS Base, SAS Stat, SAS Macro) ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Working experience in Python, PySpark or R ; SQL also relevant . Training will be provided for promising candidates without these additional experiences ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Experience working with large databases such as MarketScan/Truven, Flatiron/EMR data, or similar are essential ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate, Advanced k nowledge of scientific research methods and practical knowledge of research implementation. ,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate, Advanced k nowledge of fundamentals of health economics and epidemiology. ,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate, Advanced k nowledge of relevant methodology and statistics. ,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Experience in Excel, MS Word, PowerPoint, Access and Outlook. ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Demonstrated ability to communicate and document information effectively in written English, including the ability to produce reports, documents, emails and other written pieces which are well-organized, free from errors, and are appropriately adjusted to the characteristics and needs of the audience. ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
